 ERC20_most_rec_token_type,0,1
,3,0
 ,1,20
$P4C3,1,0
0,4399,0
0xBitcoin Token,1,0
1irst,1,0
21Million,1,0
A2A(B) STeX Exchange Token,0,1
ABCC invite,0,1
ABYSS,1,0
AI Gaming Coin,0,1
AICRYPTO,24,2
AION,7,1
AIT,1,0
ALFA NTOK,1,0
ARP,2,0
ATLANT,1,0
AdEx,2,0
Aeternity,9,0
AirCoin,1,1
Amber,2,0
Amplify,0,2
An Etheal Promo,7,6
AnyCoinVer10,2,0
AppCoins,0,1
Aragon,18,0
ArcBlock,1,0
Arcona Distribution Contract,1,0
ArtisTurba,0,1
Asobicoin promo,1,0
Atonomi,1,0
Aurora,1,0
Authoreon,0,1
Authorship,1,0
Avocado,1,0
Azbit,2,0
BAI,1,0
BANKEX,1,0
BAT,35,0
BAX,0,1
BBN,0,1
BCDN,1,0
BCG.to,1,0
BCShareS,1,0
BCT Token,1,0
BMB,1,0
BNB,1,0
BOX Token,29,1
BPTN,3,0
BRAT,1,0
BSB,1,0
BTOCoin,1,0
BUZCOIN,0,1
Bancor,20,1
Beauty Coin,4,0
BeautyChain,6,0
Beth,1,0
Bi ecology Token,1,0
BigBang Game Coin Token,3,0
Bigbom,1,0
Bilian,2,0
BinaryCoin,0,1
Biograffi,1,0
BitAir,0,1
BitCAD,1,0
BitClave,6,0
BitClave-ConsumerActivityToken,2,0
BitDegree,1,0
Bitcoin EOS,1,0
Bitcoineum,2,0
BizCoin,0,2
BlitzPredict,1,0
Blockchain Certified Data Token,1,0
BlockchainPoland,1,0
Blockwell say NOTSAFU,0,779
Bloom,1,0
Bounty,0,1
Brickblock,1,0
Bulleon Promo Token,37,7
Bytom,4,0
CANDY,20,7
CGCOINS,1,0
CGW,1,0
COPYTRACK,1,0
CRYPTOPUNKS,3,0
CVNToken,1,0
CYRUS,1,0
CanYaCoin,2,0
CandyHCoin,1,0
Cappasity,1,0
CargoX,0,1
Carrots,3,0
Cash Poker Pro,1,0
Cashaa,0,2
Celer Network,0,1
Celsius,2,0
Centra,3,0
Cevac Token,1,0
ChainLink Token,1,0
ChangeNOW,1,0
Cindicator,1,0
Civic,6,2
Cofoundit,4,0
CoinDash,2,2
Coineal Token,1,0
CosmoCoin,0,1
Covalent Token,1,0
Covesting,1,0
CreditBIT,1,0
Credo Token,1,0
Crypterium,0,1
Crypto.com,7,1
CryptoLah,1,0
Cryptonex,1,1
Cryptonex (CNX),1,0
CyberMiles,0,1
CyberVeinToken,1,0
Cybereits Token,1,0
DALECOIN,1,0
DATAcoin,349,8
DAY,1,0
DCORP,4,0
DEBITUM,1,0
DEW,1,0
DGD,6,0
DICE,6,0
DIGIBYTE,0,1
DIW Token,1,0
DJANGO UNCHAIN,1,0
DMTS,6,2
DMarket,1,0
DOG: The Anti-Scam Reward Token,1,0
DRC Token,1,0
Dai Stablecoin v1.0,3,0
Dao.Casino,12,2
Data,2,2
Decentraland,3,0
Decentralized Application Coin,1,0
Delphy Token,5,0
Delta,5,0
Dentacoin,2,0
Deprecated,1,0
Dignity,1,0
Divi Exchange Token,2,0
Dochain,1,0
Dragon,2,0
DragonGameCoin,1,0
Dropil,0,1
E4ROW,1,0
EBCoin,1,0
ECHARGE,2,1
ELF,0,1
EMO tokens,4,3
ENDO.network Promo Token,1,0
EOS,159,2
ERC20,0,35
ESSENTIA,1,0
EasyEosToken,0,1
Edgeless,5,0
Egretia,1,0
ElectrifyAsia,1,0
Electronic Energy Coin,0,1
Energem,0,1
EnjinCoin,3,0
Enumivo,1,0
Ethbits,2,0
Ether,2,0
Ether Token,3,0
EtherEcash,0,1
Etherball,1,0
Ethereum,0,1
Ethmon,1,0
Ethos,3,3
Everest,0,1
FIFA.win,3,0
FUCKtoken,0,2
FXPay,1,0
Fair Token,1,0
FinShi Capital Tokens,1,0
FinallyUsableCryptoKarma,0,3
FirstBlood,2,0
FloodToken,1,0
FluzFluz,1,0
Flyp.me,2,0
Fortecoin,0,1
Free BOB Tokens - BobsRepair.com,1,37
Freyr Coin,1,0
Frikandel,2,0
FunFair,3,6
FundRequest,1,0
Fysical,1,0
GECoin,1,0
GOT,0,1
GRID,1,0
GSENetwork,0,80
GSG coin,1,0
Galbi,0,1
Genaro X,2,3
Genesis Vision,1,0
Gifto,1,1
Global ICO Token,1,0
Gnosis,8,0
Golem,122,4
Guaranteed Entrance Token,2,0
Guppy,3,0
HackerGold,1,0
Hash Power Token,0,1
Havven,0,1
Helbiz,0,1
Hero Origen,1,0
HeroCoin,1,0
Herocoin,1,0
Hiveterminal Token,1,0
Hms Token,0,1
Humaniq,11,1
Huobi Airdrop HuobiAirdrop.com,1,0
HuobiToken,4,0
Hut34 Entropy,1,0
Hydro,0,1
IBCCoin,1,0
ICE ROCK MINING,0,1
ICO,1,0
ICON,2,1
ICONOMI,23,0
ICTA,0,1
IGNITE,1,0
INS Promo,34,10
INS Promo1,0,1
IOSToken,1,0
IOT Chain,1,0
Identity Hub Token,1,0
Individual Content &amp; Skill Token,3,0
Indorse,2,0
Ink Protocol,1,0
Insolar,3,0
InsurePal,1,0
Intelion,1,0
Invox Finance Token,1,0
JewCoin,1,0
Jolly Boots,0,1
Jury.Online,1,0
KEY,1,0
Katalyse,1,0
KickCoin,38,5
Kin,10,0
KingOfCandy,1,0
KredX Token,1,0
Kuende Token,1,0
KyberNetwork,9,0
LEADCOIN,1,0
LGO,1,0
LendConnect,0,1
Lendroid Support Token,0,1
LikeCoin,1,0
Lino,0,12
Litecoin One,0,1
Live Stars Token,1,0
Livepeer Token,161,46
LocalCoinSwap Cryptoshare,1,0
LockTrip,5,0
Loopring,18,0
Love Chain,2,0
LuckCash,1,0
Lunyr,2,0
MATRIX AI Network,1,0
MCAP,3,3
MEX,1,0
MINDOL,1,0
MKR,2,0
MKRWrapper,1,0
MT Token,4,0
Matic Network,0,1
Mavrodi,1,0
Maximine Coin,1,0
MedToken,1,0
MediShares,1,0
Melon,2,0
Merculet,1,1
Metal,0,1
Mithril Token,1,0
MobileGo,7,1
Monaco,14,0
Monetha,0,1
MoneyToken IMT Token (promo),1,0
More Gold Coin,7,0
Mothership,1,0
Musiconomi,1,0
Mysterium,2,0
NEVERDIE,4,0
NGOT,0,1
NKN,1,0
NOAHCOIN,0,1
Nebulas,1,0
Nectar,1,0
Network,1,0
Nexium,1,0
NimiqNetwork,1,0
Nitro,1,0
None,16,0
NucleusVision,2,2
Numeraire,4,0
OCoin,1,9
ONOT,1,0
OOOBTCTOKEN,0,2
OPEN,1,0
OPEN Chain,3,1
OPTin Token,0,1
OWN,2,0
Olive,1,1
OmiseGO,860,13
OpenANX,1,0
Oyster Pearl,1,0
PILLAR,3,1
PIX,1,0
PROVER.IO additional 5% discount,2,0
Patientory,7,1
PayPie,1,0
Penis,1,2
Penta Network Token,1,0
Petroleum,0,1
Pluton,2,0
PoSToken,4,0
Poker Chips,1,0
Poker IO,1,0
Polybius,4,0
Polymath,0,1
Ponder Airdrop Token,0,1
Populous,8,0
PowerLedger,2,0
Primas,1,0
Pro,4,0
Promodl,50,1
Proof Test,1,0
Pundi X,1,1
Pundi X Token,4,2
QKC,0,1
QRL,3,0
Qtum,24,0
Quantum,1,0
QunQunCommunities,1,0
RAZOOM,6,0
RCoinVer70,1,0
REP,2,0
RHOC,1,0
RLC,2,0
ROOMDAO COIN (RDC),0,1
Raiden,2,0
Rebellious,0,1
Relex,1,0
Republic,1,0
Reputation,32,0
Request,2,0
RvT,0,1
SAFE.AD - 20% DISCOUNT UNTIL 1 MAY,17,6
SAN,2,0
SCAM Stamp Token,0,1
SGCC,1,0
SIGMA,2,0
SIPC,1,0
SNGLS,5,0
SONM,14,0
SPECTRE SUBSCRIBER2 TOKEN,1,0
Salt,4,0
SanDianZhong,1,0
Send your ETH to this contract and earn 2.55% every day for Live-long. https://255eth.club,2,0
Signals Network Token,0,1
Silent Notary Token,2,0
SinghCoin,0,1
SingularityNET,1,0
Six Domain Asset,1,0
SkinCoin,1,0
Skraps,2,0
Snovio,0,1
Soarcoin,4,0
SpherePay,0,1
StatusGenesis,1,0
StatusNetwork,39,3
Storiqa,1,0
Storj,13,0
Stox,3,0
Substratum,2,0
Super Wallet Token,5,0
SwarmCity,6,0
TAAS,11,0
TIME,10,0
TOKOK,1,0
TRUE Token,2,0
TaTaTu,1,0
Telcoin,4,0
TemboCoin,0,1
TenXPay,16,4
Testamint,1,0
The Force Token,1,0
TheDAO,4,0
ThoreCash,0,1
Tierion Network Token,1,0
Time New Bank,1,0
Titanium BAR Token,0,1
TokenCard,6,0
Tokenomy,1,0
Trade,1,0
Trip.io Ad,4,0
Tronix,55,20
TrueUSD,1,0
Trustcoin,5,0
TurnGreenToken,1,0
TzLibre Token,1,0
UG Coin,1,0
UG Token,7,0
USD Coin,0,1
USDDex Stablecoin,0,1
Unicorns,1,0
UnikoinGold,1,0
UnityIngot,1,0
Upfiring,3,0
VIN,3,0
VIU,35,15
VTChain,1,0
VeChain,4,2
VectoraicToken,1,0
Veritaseum,13,0
ViteToken,1,0
WAX Token,1,0
WELL Token,4,0
WFee,1,0
WINGS,10,0
WORLD of BATTLES,0,1
Walton,1,0
WaykiCoin,1,0
Welcome Coin,1,0
WhalesburgToken,0,1
WinETHFree,5,10
WisePlat Token,18,0
Worldcore,1,0
Wrapped Ether,1,0
XCELTOKEN,3,0
XENON,121,24
Xaurum,1,0
YESTERDAY,1,0
Yooba token,6,9
YouDeal Token,2,0
Yun Planet,1,0
ZEON,1,0
ZGC,2,0
ZMINE Token,1,0
ZRX,10,0
Zilliqa,1,0
Zombie X Chain,1,0
bitqy,5,0
bitqy10,1,0
blockwell.ai KYC Casper Token,26,39
district0x,3,1
elixor,1,0
empowr,1,0
ethBo,1,0
freetoken.pro,1,0
https://findtherabbit.me,9,0
iDAG SPACE,1,0
iEx.ec Network Token,1,0
iXledger,1,0
minereum,5,0
savedroid,0,1
shellchains.com,1,2
timereum,1,0
vSlice,1,0
www.pnztrust.com,31,1
yocoinclassic,1,0
